Partikler;Average sim time (ns);ms;;;;
30;184783;0,184783;27000;;;
60;116888;0,116888;216000;8;0,632569013;7,367430987
90;141898;0,141898;;;;
120;233439;0,233439;;;;
150;204650;0,20465;;;;
180;158112;0,158112;;;;
210;319796;0,319796;;;;
240;372238;0,372238;;;;
270;366113;0,366113;;;;
300;1043244,94;1,04324494;;;;
330;477340;0,47734;;;;
360;971592,94;0,97159294;46656000;;;
390;610904;0,610904;;;;
420;775368,94;0,77536894;;;;
450;1546516;1,546516;;;;
480;965167,06;0,96516706;;;;
510;1100443;1,100443;;;;
540;2177644;2,177644;;;;
570;1810329;1,810329;;;;
600;2420949;2,420949;;;;
630;3318426;3,318426;;;;
660;1987087;1,987087;;;;
690;2254208;2,254208;;;;
720;2648695;2,648695;;;;
750;2828787;2,828787;;;;
780;2968521;2,968521;;;;
810;3500258;3,500258;;;;
840;3986567;3,986567;;;;
870;4219209;4,219209;;;;
900;4623100;4,6231;;;;
930;5059129;5,059129;;;;
960;5562672;5,562672;;;;
990;5780087;5,780087;;;;
1020;6568612;6,568612;;;;
1050;6956538;6,956538;;;;
1080;7054558,5;7,0545585;;;;
1110;8179415;8,179415;;;;
1140;8844077;8,844077;;;;
1170;8990071;8,990071;;;;
1200;1,10E+07;11,022214;;;;
1230;1,07E+07;10,748968;;;;
1260;1,28E+07;12,779963;;;;
1290;1,23E+07;12,264492;;;;
1320;1,42E+07;14,171918;;;;
1350;1,32E+07;13,178298;;;;
1380;1,47E+07;14,711804;;;;
1410;1,46E+07;14,645303;;;;
1440;1,61E+07;16,082013;;;;
1470;1,65E+07;16,531773;;;;
1500;1,81E+07;18,140524;;;;
1530;1,94E+07;19,44425;;;;
1560;2,08E+07;20,785354;;;;
1590;2,16E+07;21,622014;;;;
1620;2,42E+07;24,196636;;;;
1650;2,52E+07;25,246262;;;;
1680;2,56E+07;25,594852;;;;
1710;2,84E+07;28,382096;;;;
1740;2,76E+07;27,554506;;;;
1770;2,97E+07;29,657716;;;;
1800;3,10E+07;30,98775;;;;
1830;3,16E+07;31,616798;;;;
1860;3,18E+07;31,839692;;;;
1890;3,33E+07;33,346804;;;;
1920;3,47E+07;34,718084;;;;
1950;3,78E+07;37,753064;;;;
1980;4,17E+07;41,673564;;;;
2010;4,06E+07;40,580812;;;;
2040;4,28E+07;42,80046;;;;
2070;4,41E+07;44,131184;;;;
2100;4,66E+07;46,55062;;;;
2130;4,88E+07;48,784948;;;;
2160;4,96E+07;49,576076;;;;
2190;5,14E+07;51,41872;;;;
2220;5,48E+07;54,799264;;;;
2250;6,00E+07;60,034444;;;;
2280;5,66E+07;56,630252;;;;
2310;6,04E+07;60,376264;;;;
2340;6,35E+07;63,469332;;;;
2370;6,78E+07;67,7674;;;;
2400;6,98E+07;69,782176;;;;
2430;7,06E+07;70,580448;;;;
2460;7,41E+07;74,067608;;;;
2490;7,98E+07;79,843608;;;;
2520;7,84E+07;78,412408;;;;
2550;8,38E+07;83,756792;;;;
2580;8,68E+07;86,793984;;;;
2610;9,02E+07;90,247744;;;;
2640;9,34E+07;93,383312;;;;
2670;9,37E+07;93,712968;;;;
2700;9,74E+07;97,367216;;;;
2730;9,83E+07;98,31128;;;;
2760;1,04E+08;104,191096;;;;
2790;1,05E+08;105,057504;;;;
2820;1,08E+08;107,863648;;;;
2850;1,08E+08;107,730568;;;;
2880;1,14E+08;114,272672;;;;
2910;1,20E+08;120,492992;;;;
2940;1,23E+08;123,011976;;;;
2970;1,26E+08;125,827368;;;;
3000;1,29E+08;129,149136;5898080908;126,4163432;132,9251487;6,508805484
