Resolution;Average sim time (ns);
10;5874;0,005874
20;27261;0,027261
30;70613;0,070613
40;127825;0,127825
50;200980;0,20098
60;287770;0,28777
70;382886;0,382886
80;497572;0,497572
90;639208;0,639208
100;847216,94;0,84721694
110;1018080;1,01808
120;1295393;1,295393
130;1591187;1,591187
140;1942243;1,942243
150;2408147;2,408147
160;2884573;2,884573
170;3472924,2;3,4729242
180;4228257;4,228257
190;4899369;4,899369
200;5720259;5,720259
210;6517835;6,517835
220;7367821;7,367821
230;8176509;8,176509
240;8941510;8,94151
250;9617398;9,617398
260;9563668;9,563668
270;1,02E+07;10,199769
280;1,08E+07;10,847264
290;1,15E+07;11,50409
300;1,23E+07;12,273187
310;1,30E+07;13,00987
320;1,38E+07;13,832776
330;1,46E+07;14,551629
340;1,54E+07;15,377891
350;1,34E+07;13,419436
360;1,41E+07;14,13435
370;1,50E+07;14,968771
380;1,57E+07;15,743873
390;1,66E+07;16,596854
400;1,74E+07;17,412892
410;1,83E+07;18,295576
420;1,92E+07;19,193338
430;2,02E+07;20,166588
440;2,11E+07;21,080944
450;2,20E+07;22,04447
460;2,30E+07;22,95513
470;2,39E+07;23,9189
480;2,48E+07;24,820994
490;2,56E+07;25,567216
500;2,62E+07;26,200118
510;2,69E+07;26,88553
520;2,15E+07;21,511324
530;2,24E+07;22,383448
540;2,33E+07;23,332194
550;2,43E+07;24,323102
560;2,53E+07;25,27895
570;2,63E+07;26,290998
580;2,77E+07;27,664344
590;2,83E+07;28,305314
600;2,94E+07;29,37348
610;3,05E+07;30,489672
620;3,17E+07;31,664174
630;3,27E+07;32,729774
640;3,41E+07;34,072488
650;3,51E+07;35,10462
660;3,63E+07;36,320444
670;3,76E+07;37,573332
680;3,89E+07;38,912456
690;4,01E+07;40,142452
700;4,15E+07;41,471004
710;4,28E+07;42,773964
720;4,41E+07;44,121432
730;4,53E+07;45,320044
740;4,65E+07;46,520224
750;4,76E+07;47,571944
760;4,86E+07;48,626508
770;4,96E+07;49,620008
780;5,08E+07;50,844468
790;5,18E+07;51,79376
800;5,30E+07;52,991016
810;5,41E+07;54,110388
820;5,51E+07;55,095624
830;5,62E+07;56,24334
840;5,74E+07;57,391448
850;5,87E+07;58,659332
860;5,98E+07;59,76434
870;6,11E+07;61,12596
880;6,22E+07;62,205972
890;6,34E+07;63,390048
900;6,47E+07;64,707288
910;6,59E+07;65,855228
920;6,71E+07;67,11012
930;6,84E+07;68,424448
940;7,89E+07;78,899192
950;7,29E+07;72,850256
960;7,37E+07;73,657112
970;7,48E+07;74,783792
980;7,59E+07;75,917616
990;7,74E+07;77,372952
1000;7,88E+07;78,815096
