Resolution;Average sim time (ns);
10;188600;0,1886
20;1145100;1,1451
30;2586400;2,5864
40;4715600;4,7156
50;7245500;7,2455
60;1,06E+07;10,5906
70;1,45E+07;14,4893
80;1,91E+07;19,0842
90;2,44E+07;24,4197
100;3,09E+07;30,8727
110;3,80E+07;37,9712
120;4,61E+07;46,1484
130;5,56E+07;55,6114
140;6,61E+07;66,1337
150;7,82E+07;78,199104
160;9,15E+07;91,463104
170;1,06E+08;106,119696
180;1,23E+08;123,3502
190;1,41E+08;141,323296
200;1,61E+08;160,563104
210;1,78E+08;177,859808
220;1,98E+08;198,0576
230;2,19E+08;218,6888
240;2,39E+08;238,695904
250;2,58E+08;258,327696
260;2,64E+08;263,8484
270;2,83E+08;283,124512
280;3,04E+08;303,673088
290;3,27E+08;326,511008
300;3,48E+08;347,854592
310;3,71E+08;371,264704
320;3,95E+08;395,250208
330;4,21E+08;421,335296
340;4,46E+08;445,644512
350;4,32E+08;432,4224
360;4,57E+08;457,427904
370;4,84E+08;483,754688
380;5,11E+08;510,893184
390;5,40E+08;540,07341
400;5,68E+08;567,6832
410;5,98E+08;598,40858
420;6,29E+08;628,65843
430;6,59E+08;659,44858
440;6,91E+08;691,46733
450;7,25E+08;724,77107
460;7,57E+08;756,7744
470;7,89E+08;788,53542
480;8,21E+08;820,5817
490;8,51E+08;850,64973
500;8,82E+08;881,80442
510;9,11E+08;911,3095
520;8,57E+08;856,536
530;8,93E+08;893,01542
540;9,27E+08;926,70362
550;9,61E+08;961,26963
560;9,99E+08;998,51622
570;1,04E+09;1036,43891
580;1,08E+09;1076,89165
590;1,11E+09;1113,33453
600;1,16E+09;1156,32704
610;1,20E+09;1195,21267
620;1,24E+09;1242,64845
630;1,28E+09;1280,95526
640;1,33E+09;1325,57466
650;1,37E+09;1367,37126
660;1,41E+09;1412,69875
670;1,46E+09;1459,55085
680;1,51E+09;1507,57734
690;1,56E+09;1557,53971
700;1,60E+09;1600,59277
710;1,65E+09;1647,45037
720;1,70E+09;1698,29504
730;1,74E+09;1743,94176
740;1,79E+09;1789,35488
750;1,84E+09;1838,18086
760;1,89E+09;1885,99219
770;1,93E+09;1931,06355
780;1,98E+09;1981,50374
790;2,02E+09;2023,71533
800;2,07E+09;2074,19994
810;2,12E+09;2123,96403
820;2,19E+09;2187,60858
830;2,28E+09;2278,30938
840;2,34E+09;2340,26291
850;2,35E+09;2349,64301
860;2,39E+09;2391,42682
870;2,45E+09;2454,27251
880;2,49E+09;2490,45632
890;2,55E+09;2554,29274
900;2,67E+09;2673,1904
910;2,66E+09;2655,72147
920;2,71E+09;2707,29702
930;2,76E+09;2763,16544
940;2,83E+09;2825,42822
950;2,90E+09;2896,39219
960;2,99E+09;2986,34061
970;3,03E+09;3025,41082
980;3,13E+09;3126,80602
990;3,13E+09;3132,0343
1000;3,18E+09;3183,07686
