Resolution;Average sim time (ns)
10;6801,6665
20;35665,0
30;96945,0
40;176175,0
50;271291,66
60;385023,34
70;520350,0
80;675523,3
90;868003,3
100;1100643,4
110;1374253,4
120;1702045,1
130;2097675,0
140;2528268,2
150;3073528,2
160;3658189,8
170;4361135,0
180;5212616,5
190;6068831,5
200;7061628,5
210;8188530,0
220;9269952,0
230;1,0482385E7
240;1,1723561E7
250;1,294993E7
260;1,3275538E7
270;1,4142519E7
280;1,5078814E7
290;1,5967327E7
300;1,7014516E7
310;1,800901E7
320;1,9169628E7
330;2,0115196E7
340;2,1225154E7
350;1,8883868E7
360;1,9940442E7
370;2,0998814E7
380;2,2117922E7
390;2,3280994E7
400;2,4452758E7
410;2,5694702E7
420;2,6901858E7
430;2,8230942E7
440;2,9505688E7
450;3,076209E7
460;3,2164186E7
470;3,3555748E7
480;3,4894568E7
490;3,6244464E7
500;3,7435308E7
510;3,8533692E7
520;3,081901E7
530;3,2084558E7
540;3,344835E7
550;3,491352E7
560;3,6278964E7
570;3,7628396E7
580;3,9036324E7
590;4,0525292E7
600;4,2252492E7
610;4,3519948E7
620;4,5060332E7
630;4,6630588E7
640;4,843716E7
650;4,9966932E7
660;5,1692636E7
670;5,3368012E7
680;5,5067928E7
690;5,6844304E7
700;5,8759468E7
710;6,057586E7
720;6,2471292E7
730;6,4488652E7
740;6,62461E7
750;6,7964272E7
760;6,9621328E7
770;7,1199248E7
780;7,2699184E7
790;7,4337976E7
800;7,5978056E7
810;7,7452248E7
820;7,8926968E7
830;8,0841048E7
840;8,244692E7
850;8,4137496E7
860;8,6161992E7
870;8,7993432E7
880;8,9050336E7
890;9,08354E7
900;9,2808656E7
910;9,4637624E7
920;9,6288272E7
930;9,819624E7
940;9,997124E7
950;1,0281028E8
960;1,03869992E8
970;1,05824104E8
980;1,0760624E8
990;1,0960168E8
1000;1,11483472E8
