Resolution;Average sim time (ns);
10;11702,4;0,0117024
20;60946,2;0,0609462
30;151108,98;0,15110898
40;282369,6;0,2823696
50;458554,22;0,45855422
60;670730,2;0,6707302
70;939478;0,939478
80;1246715;1,246715
90;1605743,2;1,6057432
100;2003480,1;2,0034801
110;2461894;2,461894
120;2935413,2;2,9354132
130;3458264,2;3,4582642
140;4042475,5;4,0424755
150;4642009,5;4,6420095
160;5299764;5,299764
170;6000424;6,000424
180;6755435,5;6,7554355
190;7557625,5;7,5576255
200;8392409;8,392409
210;9250361;9,250361
220;1,02E+07;10,187514
230;1,12E+07;11,175371
240;1,22E+07;12,194969
250;1,32E+07;13,232347
260;1,44E+07;14,374725
270;1,56E+07;15,586715
280;1,68E+07;16,782492
290;1,81E+07;18,079988
300;1,94E+07;19,376572
310;2,08E+07;20,775064
320;2,22E+07;22,193834
330;2,37E+07;23,667726
340;2,53E+07;25,263354
350;2,71E+07;27,099896
360;2,89E+07;28,888126
370;3,06E+07;30,613814
380;3,24E+07;32,40314
390;3,42E+07;34,220924
400;3,62E+07;36,151332
410;3,86E+07;38,554712
420;4,05E+07;40,462104
430;4,26E+07;42,572188
440;4,49E+07;44,865356
450;4,72E+07;47,157904
460;4,95E+07;49,513996
470;5,20E+07;52,02476
480;5,47E+07;54,671748
490;5,73E+07;57,262908
500;5,99E+07;59,891476
510;6,26E+07;62,628372
520;7,27E+07;72,654928
530;7,57E+07;75,677672
540;7,87E+07;78,716704
550;8,18E+07;81,812144
560;8,52E+07;85,163272
570;8,87E+07;88,688952
580;9,21E+07;92,069872
590;9,54E+07;95,360488
600;9,86E+07;98,639808
610;1,03E+08;102,539656
620;1,06E+08;106,49468
630;1,10E+08;110,10424
640;1,15E+08;114,609272
650;1,19E+08;118,650184
660;1,23E+08;122,97676
670;1,27E+08;127,039664
680;1,32E+08;131,823152
690;1,36E+08;136,38736
700;1,41E+08;141,320832
710;1,46E+08;145,617584
720;1,51E+08;151,46624
730;1,56E+08;156,00368
740;1,61E+08;160,749088
750;1,66E+08;166,306032
760;1,72E+08;171,818576
770;1,77E+08;177,008144
780;1,82E+08;182,24024
790;1,88E+08;187,653264
800;1,94E+08;194,42288
810;2,02E+08;201,958192
820;2,07E+08;206,696688
830;2,14E+08;214,168704
840;2,20E+08;220,323488
850;2,26E+08;226,242784
860;2,32E+08;232,29776
870;2,37E+08;237,361296
880;2,45E+08;244,701664
890;2,51E+08;250,692368
900;2,58E+08;257,8372
910;2,64E+08;264,448912
920;2,72E+08;272,340736
930;2,77E+08;276,69744
940;2,84E+08;283,877152
950;2,90E+08;290,47728
960;2,95E+08;295,415392
970;3,02E+08;301,831616
980;3,06E+08;305,528032
990;3,13E+08;312,949024
1000;3,18E+08;318,052032
