Iterations;Average sim time (ns);
1;305098;0,305098
2;433766;0,433766
3;554056;0,554056
4;673218;0,673218
5;790072;0,790072
6;906178;0,906178
7;1021692;1,021692
8;1146132;1,146132
9;1260498;1,260498
10;1383280;1,38328
11;1516166,1;1,5161661
12;1621377,9;1,6213779
13;1716966,1;1,7169661
14;1835742,1;1,8357421
15;1950160;1,95016
16;2067230,1;2,0672301
17;2186700;2,1867
18;2290032;2,290032
19;2433520;2,43352
20;2527742;2,527742
21;2642144;2,642144
22;2754044,2;2,7540442
23;2949182;2,949182
24;3027446;3,027446
25;3115774;3,115774
26;3305854;3,305854
27;3338358;3,338358
28;3460722;3,460722
29;3592938;3,592938
30;3720538;3,720538
31;3817110;3,81711
32;3960563,8;3,9605638
33;4024272;4,024272
34;4148216;4,148216
35;4339922;4,339922
36;4403658;4,403658
37;4485300;4,4853
38;4627056;4,627056
39;4786512;4,786512
40;4872820;4,87282
41;4985724;4,985724
42;5156678;5,156678
43;5225194;5,225194
44;5359102;5,359102
45;5541692;5,541692
46;5635786;5,635786
47;5678708;5,678708
48;5774526;5,774526
49;5989414;5,989414
50;6065006;6,065006
51;6142704;6,142704
52;6307214;6,307214
53;6363924;6,363924
54;6438834;6,438834
55;7383556;7,383556
56;7096772;7,096772
57;6995096,5;6,9950965
58;6951654;6,951654
59;7018102;7,018102
60;7144654;7,144654
61;7286996;7,286996
62;7378983,5;7,3789835
63;7487186;7,487186
64;7612832;7,612832
65;7788024,5;7,7880245
66;7900774;7,900774
67;7940788;7,940788
68;8043428;8,043428
69;8174292;8,174292
70;8295568;8,295568
71;8442666;8,442666
72;8517628;8,517628
73;8641448;8,641448
74;8850924;8,850924
75;8941204;8,941204
76;9010870;9,01087
77;9149660;9,14966
78;9335020;9,33502
79;9380810;9,38081
80;9484906;9,484906
81;9557654;9,557654
82;9696754;9,696754
83;9888132;9,888132
84;9908064;9,908064
85;1,00E+07;10,011286
86;1,02E+07;10,180186
87;1,03E+07;10,309206
88;1,04E+07;10,379864
89;1,05E+07;10,50448
90;1,06E+07;10,614976
91;1,08E+07;10,796844
92;1,09E+07;10,869859
93;1,10E+07;10,989926
94;1,13E+07;11,262406
95;1,13E+07;11,261446
96;1,14E+07;11,376788
97;1,24E+07;12,399352
98;1,17E+07;11,69649
99;1,17E+07;11,737352
100;1,26E+07;12,569935
